Date,Precip_in,Tmax_degC,Tmin_degC,Flow_in
2000-01-01,0,2.2,-10,0.038377
2000-01-02,0,7.8,-9.4,0.038772639
2000-01-03,0.031496063,12.8,-1.1,0.049059258
2000-01-04,0.228346457,13.3,2.2,0.060928433
2000-01-05,0.511811024,13.3,-3.9,0.114735361
2000-01-06,0,-2.8,-13.3,0.047476701
2000-01-07,0,-0.6,-13.3,0.037981361
2000-01-08,0.011811024,2.8,-5.6,0.032838052
2000-01-09,0,0.6,-6.7,0.031651134
2000-01-10,0,6.7,-3.3,0.051433093
2000-01-11,0.909448819,5,0.6,0.16814665
2000-01-12,0,8.3,-1.1,0.079127835
2000-01-13,0.039370079,1.1,-4.4,0.051433093
2000-01-14,0.228346457,-3.9,-18.9,0.034816248
2000-01-15,0,-12.2,-21.7,0.034816248
2000-01-16,0,-5,-21.7,0.036398804
2000-01-17,0.031496063,1.1,-21.1,0.039563918
2000-01-18,0,-15,-23.3,0.039563918
2000-01-19,0,-7.2,-22.2,0.036398804
2000-01-20,0,-5.6,-17.2,0.035607526
2000-01-21,0.098425197,-7.8,-13.9,0.039563918
2000-01-22,0,-12.8,-23.3,0.045498505
2000-01-23,0,-13.3,-23.3,0.04787234
2000-01-24,0,-7.8,-20,0.035211887
2000-01-25,0,2.2,-12.2,0.036003165
2000-01-26,1.090551181,-3.3,-9.4,0.039563918
2000-01-27,0,-3.3,-15,0.040355196
2000-01-28,0,-11.7,-20,0.039563918
2000-01-29,0,-10.6,-19.4,0.036398804
2000-01-30,0,5,-15,0.034024969
2000-01-31,0.578740157,6.7,-14.4,0.035607526
2000-02-01,0.011811024,1.1,-10,0.036003165
2000-02-02,0.011811024,-1.1,-12.2,0.034420608
2000-02-03,0,-9.4,-15,0.033233691
2000-02-04,0.051181102,-1.7,-13.9,0.031651134
2000-02-05,0,1.1,-8.9,0.030068577
2000-02-06,0.011811024,-1.7,-10,0.029277299
2000-02-07,0,-1.7,-11.1,0.028090382
2000-02-08,0,2.2,-20.6,0.026507825
2000-02-09,0,-1.7,-20,0.025320907
2000-02-10,0,3.9,-6.7,0.026507825
2000-02-11,0.039370079,8.3,-5.6,0.026903464
2000-02-12,0.051181102,6.1,-15,0.025320907
2000-02-13,0,0,-17.8,0.021760155
2000-02-14,0.681102362,2.2,-16.1,0.050641815
2000-02-15,0.37007874,5.6,-5,0.126604537
2000-02-16,0.051181102,1.1,-10.6,0.079127835
2000-02-17,0,3.3,-11.1,0.059345877
2000-02-18,0,-3.3,-17.2,0.055389485
2000-02-19,0.921259843,-5,-11.1,0.043520309
2000-02-20,0.12992126,0.6,-6.1,0.04312467
2000-02-21,0.011811024,1.1,-9.4,0.039959557
2000-02-22,0,2.2,-11.7,0.037190083
